text,label
"This cable dont work...im so dissapointed , this cable is junk, cannot believe they sent me a cable that doesnt work , what a waste of my money and time!!!!!! Ahhhhhhrrrr s***",Strong Negative
I bought a Samsung Infuse 4G and it didn't come with a charger but I already had the wall port for the USB Charger.So I ordered this.  It was delivered on time and it very tough so it won't tear.,Strong Negative
"The LG enV touch is an awful phone. The accessories work but it's just such an awful phone, everything that goes with it deserves a one star rating.",Strong Negative
"I ordered this charger for my Palm Pre.  It lasted 5 months and then the cable started to tear at the end, where the connection is that goes into the cell phone.  After a bit, wires were sticking out and it failed to charge my phone.  Piece of junk - I wouldn't buy this again!  Buy name brand stuff.  The one I got with my phone lasted longer than this rip off one did!",Strong Negative
This protector is too rigid and it's impossible to apply it without getting air bubbles. Don't buy this stuff.,Strong Negative
"I just got these in the pail. Put one on my phone and immediately was disappointed. It makes the screen have a bluish tint with the rainbow effect when you move it around and I get a headache just looking at the screen. It looks like I have 3d glasses on and am walking around in the sun. Definitely don't recommend and if I could upload a pic to this review I would, it's terrible",Strong Negative
I hate this I purchased this for my iPod and to o some exercise but the stupid earpiece keeps falling out. Don't waste your money on it,Strong Negative
This was an o.k. screen protector. It was not a mirror. If you get it to be a mirror you will be disappointed.,Strong Negative
"I didn't like this produvt.  Very hard to attach to the phone.  The air bubbles were very difficult to remove, even with the plastic card to run over the screen.",Strong Negative
This charger did not charge at all! I was upset and just tossed it into the trash can. Very disappointed.,Strong Negative
Product does not work at all. I was very disappointed that this backup battery charger did not work at all.,Strong Negative
this thing does not charge an iphone for crap. might work on a ipod but it def didnt work for my phone.,Strong Negative
I ordered the item to fix my itouch but the screen was already cracked and it didnt come w/accecories to put it on and i am really frustrated.,Strong Negative
"I really like this case.  It is horribly bulky, but it got the job done.  The belt clip is worthless.",Strong Negative
Worked well. But after a while I got sick of swapping batteries out of the phone. It became a pain.,Strong Negative
"IT HOLDS THE PHONE NICEBUT THE SUCTION CUP KEEP COMING OFF LOOSEWHICH IS SUX, EVERY TIME I DRIVE INTO BUMPS AND BAD ROADIT JUST SLID OUT , I HAD TO PUT WATER ON THE CUP FOR IT TO HOLDTHEN I JUST GOT TIRED IF IT AND I THREW IT AWAY",Strong Negative
These screen protectors are very bad. I think they are made out of plastic wrap. I didn't even try to apply them as they would offer very poor protection. Don't buy them if you want a quality product. Keep looking!,Strong Negative
I wouldn't even give it one star. It deserves no stars. It does not work. It doesn't even power up my phone. Can't take any charge. It's a dud!!! Do not buy!! I never write reviews but I felt inclined to do so for this crap. You have been warned.,Strong Negative
"Not as advertized! Item VERY hard to install, spray gets everywhere, fingerprints are IMPOSSIBLE to avoid; scratched with the supplied sqeegee when installing! I threw it in the trash!!!!!!! Ordered another brand.",Strong Negative
Although it fits well on my HTC EVO But i couldn't get rid of the bubbles makes it very difficult to see what is on the screen and use your phone.,Strong Negative
"When I put it in my pocket/purse without the protector no scratches...I put on the protector and now when I put it my pocket/purse the scratches are horrible. Just got them and already used 3, it makes my phone ugly, Ive had a diff brand on my other phones and never had this issue. YOU GET WHAT U PAY FOR...CHEAP!",Strong Negative
This cover is so thick that the touch screen does not work after it is put on. Do not buy!!!,Strong Negative
"Husband tried them on a whim.  Anything like this is worthless, I have found.  They are just trying to make money off of junk.",Strong Negative
I ordered the Premium Bling Luxurious Design Diamont Crystal Case and did not get that. Instead I received a Bumper. I'm disappointed and will not order from this vendor anymore.,Strong Negative
I vomit when I think of this product. If the devil had children that hated every living thing...they would be the ones that designed this product. Damn you to he11 demons...,Strong Negative
"I was really sad when I saw my Mirror Screen Protector, It came badly Scratch I had to through it away. Sad they sold something like that.",Strong Negative
"Worked for about a week and then no longer worked, I was very disappointed in this to say the least.",Strong Negative
"I get what I paid for.  I didn't spend a lot of money, and this charger broke within a few months.  A very bad charger, and a very bad company.  Look elsewhere!",Strong Negative
"Ordered this for my fiance for his iPhone and he needed a cover bad, so I got him one. He loves it and keeps his phone protected.",Strong Negative
It's hard to rate this item because I still have not got it yet. :-( I do not know what the hangup is.,Strong Negative
"i rate this casea 6 out of 10, looks just like the pictures but the material is very thin and flimpsey.",Strong Negative
"This case will end your iphone 4 call like hotcakes.I think is it a bad design, everytime the case is on and you talk on the phone it will end the call for you.Removed it and problem solved.DO NOT BUY this case.",Strong Negative
"This protector has bad cuts around the home button, camera, ear piece.  It is impossible to have it adhere around those because of all the imperfections.But the worst is that the front sticker that comes in the protector and is supposed to be removed after applying it, won't come off, leaves horrible glue residues.I will just leave it on the phone until I replace it, what I will do today if I can, to avoid scratches.DEFINITELY A BAD PROTECTOR!  I am so disappointed, in the past I purchased another protector with the same name, and it was acceptable.Another point that shows the unreliability of this product is that out of the 4 that I bought, they came with different cuts, though all sharing the same problems regarding the front sticker and bad cuts.  In fact I'd say it's bad even as a temporary solution...",Strong Negative
Came cracked :(,Strong Negative
bad cable. works for charging but not for data transfer.,Strong Negative
beads fall off and it is junk regret making purchase as it is worthless in terms of protection and doesn't wear well,Strong Negative
This screen protector is absolutely horrible! I could never get the bubbles out.  Made the phone look dirty.  Do not order!,Strong Negative
Identical to the battery it came with and does the job.  Too bad they burn out after a year... but that's the deal,Strong Negative
Very hard to work this case!!! and will notrecommend!! And i bought 3 of them and through them away.,Strong Negative
"But in the end I regretted buying it, because switching out the battery became annoying. So I stopped doing it.",Strong Negative
HATED the quality.  The dock was sleek and did what a charge and sync dock should do.  The problem came when the connector to the back of the dock broke inside and I was unable to pry it out or fix it.  Too bad.,Strong Negative
The picture for this item is wrong. I received a broken case & it surrounds the screen which is very ugly to  me.I do not recommend this!?!!!!,Strong Negative
I used it for 2 weeks the it stopped holding the phone on any position it would just spin from horizontal position. And vertical :(,Strong Negative
IM ORDERED 5 PHONES FROM BLUTEKUSA AND THEY SEND ME ALL OF THEM WITHOUT THE 2GB MICROSD CARDS THAT HAS TO BE INCLUDED IN THE BOX AND THE BOXES WERE DAMAGE LIKE THEY PUT ALL THE PHONES IN BAD WAY INSIDE THE BOXES. WTF WITH THIS SERVICE. I DONT RECOMEND BUYING FROM BLUTEKUSA IF THIS ARE THEIR BEHAVIOR OF DELIVERING PRODUCTS TO ITS COSTUMERS. FIX IT AND ILL CHANGE REVIEW.,Strong Negative
I have 2 if these cases . One is where the paint is literally coming off the case & after one day I emailed them saying I would like another . So they sent me another & that had a clear plastic over it which is peeling off . Horrible ! Both of my cases looks terrible .,Strong Negative
This was the worst screen protector I have ever bought. They are nearly impossible to put on and did not live up to my expectations.,Strong Negative
"I needed something to go over my screen, so I gave these a try, however, they are almost impossible to put on!",Strong Negative
"no a2dp, (no streaming audio), practically all of bluetooth headsets stream audio these days, plus annoyingly beeps in my ear all the time for no reason",Strong Negative
"Having gotten spoiled on the flip I was truly disappointed with what you had to do to use this ear piece with the flip you flip the mic it's on you flip it again it's off with this you have to turn the mic pressed the very small button. However my husband likes it so I gave it to him, thus 3 stars",Strong Negative
this is the worst stylus i have ever bought! it worked for awhile after it stopped working. i bought this cause for the winter its hard to use my phone with gloves on. :(,Strong Negative
"I bought this piece of junk and stained my account buying this Iphone accessory for a friend of mine.Don't recommend Apple Products (no matter what kind), Hate them, Hate them HATE THEM!!!Oh, did I mentioned I hate them???",Strong Negative
"Thin and fits, said it all!It is so thin that it doesnt feel like using a case and yet, it offer protection.and the color, it is just an attention grabber! :PLoving it!",Strong Negative
"this item was shipped on time, was very poor quality, looked nothing like the picture, the rhinestones were falling off and shifting before I even took it out of the package.",Strong Negative
"A 'must have' product to protect a phone, but regardless of repeated efforts, I can't get rid of the air bubbles. They are not visible when the display is on, but just looks bad otherwise.",Strong Negative
The feeling of this screen protector is just disgusting. It's not smooth and it's all blurry. I hate this protector. Will not buy another.,Strong Negative
I wrote a bad review on this to begin with because I was the one that didnt know how to put the protective screen on so once I watched the you tube video I got it.,Strong Negative
"Installed the screen, turned on the phone and...white screen. The LCD does not work correctly. Now I'm frustrated AND behind schedule.",Strong Negative
Terrible absolutely terrible! The battery lasted about 3 days and then stopped charging! Asked them to send another and of course they did but then that one lastwd about a week if that! Plus it isnt cut right and every time he would set his phone down or move it the battery would shift and his phone would shut off! Horrible quality if you ask me!,Strong Negative
All the stones were falling off. I had to break the case to take it off. I was very unhappy with this product.,Strong Negative
its all lose. dosent hug the phone. bad product. wouldnt recommend. . . . .  . . . . . .,Strong Negative
"I am disappointed that this seller has Fascinate listed in the title.  Batteries do not charge in phone.  Also, they heat up while in the phone.  After installing and powering on I get a message that the battery is unsupported.",Strong Negative
Too bad the Xoom has it's connections on the bottom....and an hdmi connection seems to lock the screen the 'wrong' waynot a problem with the cable - it works well - but a problem with the Xoom - calling Motorola to check.but it is a gee-or-geous picture!,Strong Negative
"It never kept my iPhone standing at all. Was the worst stand I have ever purchased. Though you get what you pay for, for the price.",Strong Negative
"the product is not the one in the photo, he was sent packing without her, very badly. I feel like I lost my money",Strong Negative
This screen protector was not a match for the Tab 3. It did not have the correct cuts for the tablet. Highly disappointed.,Strong Negative
"Its just a dock, nothing to say about it.I use it at home on my desktop to sync/charge my iphone while im on the computer.the bad thing is that you need to take off your iphone skin in order to use this dock(or any dock as i have seen).",Strong Negative
"Broke the minute I pulled it out of the box, after taking a month to arrive from China. Very bad item.",Strong Negative
Works just as well if not better than the one supplied by Samsung.  Can't complain for the price as I was expecting to pay anywhere from 10-20 for a stupid charger.,Strong Negative
this thing is so badly made the wire broke when i push it into the tab...idk if its me or the material,Strong Negative
The thing might work then in again it might not plus the customer service sucks even worst this was a bad deal i wish i never bought it but never again i promise you that,Strong Negative
I gave these to my wife as they are worthless driving a car. Slippery does not begin to describe it.,Strong Negative
"It started breaking within a week.  The rubber inside started ripping, and the plastic broke off.  Very disappointing for an Otterbox case.",Strong Negative
Bad products every sinlee piece stopped working in a matter of two weeks i would not recommend for you to buy at all,Strong Negative
Lousy product and Very lousy customer service. Asked if there was anything they could do to resolve the issue then proceeded to communicate as if I did not know what I was doing with the screen protector. Do not recommend the vendor at all. Did not offer to replace defective product nor agree to when asked.,Strong Negative
"This phone case is awful. I was so excited to get it in the mail and when I opened it, it was broken! Never order for this seller, their awful.",Strong Negative
Slot for the charger has a lip inside so the car charger doesn't go all the way in with the bumper on. Guess I could try cutting out the groove with an Xacto knife but why should I have to. Oh well.,Strong Negative
I WOULD NOT RECOMMEND THIS PRODUCT. I HAVE BEEN WAITING ON IT STILL I HAVE NOT YET GOTTEN IT'S BEEN MONTH AND HALF AND I STILL WAITING. TERRIBLE CUSTOMER SERVICE THERE NO WAY TO EMAIL THEM OR NOTHING. I HIGHLY NOT RECOMMEND TO BUY NOTHING WITH THIS SELLER IF YOU DON'T WANNA LOSE YOUR MONEY!!!!!!!!,Strong Negative
"This has to be the worst thing I ever bought off amazon.. and I buy cheap crap all the time, knowing it could be crap ! the protector would not stick to my phone, causing it to bubble all the time. and GOD I HATED THOSE BUBBLES !! GRRRR !! I had to just toss it where it belonged, IN THE TRASH ! it wasn't even a privacy screen protector.. it was just dark. People standing next to me, or even behind me could still peek and be nosey. Horrible BUY !",Strong Negative
"I keep it on my keychain since I get my iPhone taken up in school every week, I just pop out my sim card and hand my phone over. I always keep 2 spare iPhone fours in my backpack. The teacher gives me a dirty look when I remove my sim card.",Strong Negative
This blackberry was the wrong one. 0 camer so was very disappointed and ended up having to give it away. Waste of money.,Strong Negative
I got this in the mail when I was too. I do have one thing bad to say the screen was not in the armor I had to put it together (which didn't go well),Strong Negative
this is the worst case I have ever got it wont stay on or if it does you cant hold it with your sholder it sucks,Strong Negative
This has to be the absolute worst case we have purchased yet. didn't even have the opportunity to put it on the phone because it broke while in that process!!!! very UNHAPPY with this product!!,Strong Negative
I like it but the in side case was so hard to put on and take off its the harders thing I've had to do like color but don't like having to fight with the inside case :(,Strong Negative
For the price it could not be beat. I recommend this to anyone who is like me and hates a dirty scratched up scree.,Strong Negative
I hate liars I've bought two batteries and both are not working and I'm sad because I've bought this product,Strong Negative
"It charges very very very very slow ! For a charger that is 1A, it should be charging a lot faster than this one. !",Strong Negative
This was a bad buy! We received a totaling different case not at all like in the picture my daughter was really disappointed,Strong Negative
"Took me a while to figure out how to place my iPhone in the cradle. The key...you have to remove the phone from the case, which is very inconvenient!",Strong Negative
1 of the 3 cords was a dud :( 1 of the 3 cords was a dud :(1 of the 3 cords was a dud :(1 of the 3 cords was a dud :(1 of the 3 cords was a dud :(1 of the 3 cords was a dud :(,Strong Negative
item fell apart as soon as it was put on.  Very disappointing.,Strong Negative
this battery is the suck it suck so bad i dont know how to tell you how bad it suck because it will suck worse,Strong Negative
This was the worst phone ever and I would never ever buy it even if I didn't have a phone to use.,Strong Negative
I ABSOLUTELY HATED THIS PRODUCT!  I HAVE HAD TO USE 6 OF THEM ALREADY BECAUSE THEY DON'T STAY ON! I WOULD HAVE RATHERED BOUGHT THEM ATY REGULAR PRICE THAN HAVE SPENT MY MONEY ON CRAP!,Strong Negative
The base popped off this converter the second time I plugged it in. It is impossible to reattach the base. I am very disappointed.,Strong Negative
I  like it except that it doesnt wrap around to the front and the tabs which cover the ports get annoying.,Strong Negative
Jabra site stated that this headset is A2DP compatible this headset is not :-(  returning this item... ... ... ... ...,Strong Negative
When I saw it on here I thought it was going to be thicker it was very thin still afraid it wont protect my ipad2,Strong Negative
NO STAY AWAY FROM THIS SKIN FOR IPAD 2 IT IS JUNK AND IT WILL SCRATCH YOUR IPAD 2 UP ANDITS HARD TO GET ON!!!! NO I WOULD NEVER RECOMMEND THIS TO ANYONE OR EVEN SELL A BAD PRODUCT . KC,Strong Negative
The charger sits at home and charges while i use the other then i flip flop the batteries!!! I never have been without a charge!!!!,Strong Negative
Within a day of having this all the charging prongs had bent and it went into the junk drawer where it remained forgotten until I was browsing my order history. This is worthless.,Strong Negative
"When I got the screen protectors they had stuff on the part that sticks which when trying to get it off, it just smeared. All 3 protectors had to be disposed of. DO NOT BUY. HORRIBLE",Strong Negative
"I bought 3 of these and they are junk, they all fell apart.  Very poorly made, junk. Not work a penny.",Strong Negative
these things are not oil resistant. do not buy they are horrible. every time you swipe your finger its like you are squeezing grease on it.,Strong Negative
I feel like I'm going to break my phone everytime I try pulling the cord out. I've used it twice and it has stopped working. Extremely disappointed in the product. I have an iPhone 4s,Strong Negative
as it say....no bubbles....I am terrible at replacing the screen protector on my phones....with this it was easy...and not one bubble....would buy it again...and would tell others to buy this product also.....,Strong Negative
The phone was garbage.  Battery life was terrible and the update to iOS 7 made it lag unbearably.  We just threw it away and bought an Android.,Strong Negative
This is a 3g phone.  The battery life is very bad.  But other then that is a phone.  The worst cell phone I have ever owned.,Strong Negative
I got an email asking to rate these and I didn't even get them! I've been waiting for them but they didn't show up yet... Not sure if I will either... Very disappointed,Strong Negative
Will not protect your phone. Do not buy this crap. It's ugly too looks way worse than in the pic.,Strong Negative
THIS WAS BOGAS U CANT DO ANY THING WITH THIS I DONT KNOW WHY IT IS BEING SOLD ITS A RIP OFF YES I SAID A RIP OFF DONT BUY IT AT ALL YOU'LL BE MAD ABOUT IT I WOULD NOT TELL ANYONE ABOUT THIS AT ALL,Strong Negative
I have used a jawbone before and this one was BAD. I found the audio quality on it to not be usable at all. People I would call said I sounded like I was talking with a tin can and a string. I quit using it and bought a Plantronics. Beware of this junk.,Strong Negative
"After a week of having it, it started to peel. Terrible quality phone case, I dont recommend it to anyone.",Strong Negative
bad quality,Strong Negative
"A piece of crap. That charger is a joke within itself, never could tell if the battery ever charged. Too bad.",Strong Negative
Dropped it off of a coffee table and the stupid charger fell apart. I would not buy another one again.,Strong Negative
"looks nothing like the picture, it is hideously ugly. Can not bring myself to give it as a gift as intended.",Strong Negative
"Pieces of crap.  These are not cut out correctly, and if you try to fix it yourself, it will come out un-even and look bad.  Worthless.  You get what you pay for I guess.",Strong Negative
I absolutely hate this product I think it worked for a day then it wouldn't work for my iPhone or iPad,Strong Negative
not worth it!  they did not work at all!!:(( I purchased  6 of them and they all did not work on anything we had:(,Strong Negative
work as described.. can't go wrong!,Strong Negative
"It doesn't work, I had them send me a replacement and it was still horrible, don't get this. You will be sorry.",Strong Negative
I think that its junk it does not perform as i thought it would i hate i ever purchased it,Strong Negative
"I waited for this product 20 days average, and when it arrived, I discovered a low-quality product. I used it for three days, and after it becames dirty and I could never use it again. Terrible!",Strong Negative
This is a piece of crap. It cracked when I put it on the phone and would not snap together. I guess you get what you pay for.,Strong Negative
I was very disappointed in this case when I received it. I carried it in my pocket and it faded inside my coat jacket and faded on my hands too.,Strong Negative
This was purchased as a gift. The person who received it loves it. I was a bit disappointed that the paint chips off the case .,Strong Negative
If your a picture taker then this is not the case for you. It leaves a glow on your pictures. Had to take it off my phone whenever I wanted to take a pic. :( Eventually took the silver cover off the lens part.,Strong Negative
"Terrible ""case"". The green part started peeling off within a week. Not to mention that I had to wait over a month to receive it.",Strong Negative
This case was terrible. It started falling apart about a week after installed.  The green band started peeling off and the clasping mechanism did not hold.  I would not recommend this at all.,Strong Negative
Was very disappointed!!  Was expecting the item to be in silver because that's what the picture show on online.  But it came in gold.  I hate gold...,Strong Negative
Ordered this over a month ago and it is still not here.  It shows it is shipped but 0 very disappointed,Strong Negative
"Phone is hard to get out of this case.. Glitter gets EVERYWHERE tooooooo!!!It's like herpes... once they spread, they never GO AWAY!!!",Strong Negative
Doesnt cover front screen which makes case worthless,Strong Negative
the chrome pieces fall off over time. And the black starts wearing off and looks horrible. Also dust gets in the cracks,Strong Negative
Arrived broken :(,Strong Negative
I charged up the charger fully and connected it to my LG Phone and nothing happened.I mean it doesn't even show the charging state.Obviously it is either a bad charger or DOES NOT charge Andriod Phones.,Strong Negative
this phone case caused my phone to not receive messages and it got terrible reception anywhere i went. will not buy again,Strong Negative
another one that yes it works and fits but it seems to make the phone a shape &34;oval&34; just annoying to see it get so bulky,Strong Negative
Such a bad iPhone case. Would never buy this again. Wouldn't recommend either! I ended up giving it to my cousin. She hated it too.,Strong Negative
"I hate them I don't know why I kept ordering them when they didn't work.don't order this product, you will be wasting your money.",Strong Negative
the connection to the phone is weak as a result sometimes the phone does not charge. I am disappointed with it.,Strong Negative
"The product doesn't deserve a star. Horrible, horrible! Does not even fit the phone and does not stay on. Please do not buy the product.",Strong Negative
There is nothing bad I can say about this cover.  It does it job and does it well.  Don't skimp out.  Get this one!,Strong Negative
this is the worst this  EVER! used it one or two times and after the second time it broke :( BOO!,Strong Negative
Constanly comes off the phone. The lip that goes over the phone is too small. Maybe I just received a bad one but I have never had one this bad.,Strong Negative
This case does not stay snapped on correctly.  It's very annoying to have a cell phone case that won't stay on.,Strong Negative
"this tripod was a worthless purchase, If I could give it 0 rating I wood, while tightening the bolt it cracked and will not function, save your money",Strong Negative
"Don't care for,hard to peel apart the protectors & hard to remove sticker &34;gunk&34; from the screen protectors,very disappointed inn this purchase..",Strong Negative
"This case does not hold up. It has torn, broken, and fallen apart! We have 6 iphone 4s & none of the cases held up on any of the phones. Do not spend your money on this!!!",Strong Negative
Bulky and annoying but does what it's supposed to.  Keeps the phone protected.  Bulkiness got in the way so I stopped using it.  Seller got it to me on time though.,Strong Negative
I dropped my phone once and the screen cracked. Case didn't protect like I had hoped. I am very disappointed.,Strong Negative
awful this is not like any otterbox iv ever owned. its flimsy and doesnt even protect the phone. i wont be using this,Strong Negative
Horrible it makes my screen look blue and grainy I would not recommend this to anyone this product it horrible,Strong Negative
"Horrible. I hated this phone. I did not know it was supposedly a prepaid phone. This phone was slow and did not have a lot of memory space, even with a memory card. I have never even heard of this brand !",Strong Negative
If I put this on my phone I can not get it in the carrying case.These stupid reviews require us to write all these words when we don;t want too.  mnkdskksldklksdklsdlkklds,Strong Negative
This item is really ugly my daughter will not use it she said she had to paint it to jazz it up.,Strong Negative
The screen was kinda annoying on it but I brought my phone in the shower and everything then I let someone barrow it and they broke it,Strong Negative
"this case gets dirty within the week of having it, but it does offer the protection you would want for this phone",Strong Negative
"It's my fault, I thought I would like it but I don't...its boring looking and I gave it away to someone I didn't like for Christmas.",Strong Negative
"you get what u pay for, very poorly made and was falling a part as soon as I opened the package",Strong Negative
This cover did not stay snapped on my phone.  It's annoying to have a phone cover that is always coming unsnapped.,Strong Negative
"Don't bother with this trash. They're placed it twice,but it still did not work. Booooo! Really really really disappointed, tried to reconcile it, but...",Strong Negative
Bad quality. Keep looking,Strong Negative
"Package came on time, yay but I was disappointed because it didnt look like the picture at all. I had it for a week and the inside that holds the phone was cracking.",Strong Negative
I hate this item.,Strong Negative
The flap is so annoying. My phone hangs out the sides. I don't even know what I was thinking when I bought this.,Strong Negative
"My s/o bought this for use in his vehicle. It does what it does well, though I find it obtrusive and awkward looking. I guess I'm just used to the ones that clip neatly to your visor. So if you're frugal and don't care what the inside of your vehicle looks like, then this is the transmitter for you!",Strong Negative
"The day it got here the sleep/wake button fell of the case. I have ordered tons of these bumpers but this one was one of the worst made, but you get what you pay for.",Strong Negative
"However, each time I use it. I am always having to pair the head set to my cell phone. That is so inconvenient.",Strong Negative
I don't know what's up but this did not work at all that's all I have to say I hate it,Strong Negative
"I bought this case thinking that it would be like the otter box. Well, I was disappointed. The plastic outer case broke after a week and the case just fell apart. I do not recommend this product if you want something reliable.",Strong Negative
DO NOT BUY THESE ARE CRAP!!! THEY ARE THE WORST SCREEN PROTECTORS I HAVE EVER SEEN AND THEY ARE UNUSABLE,Strong Negative
"crap ,,,mega crap didn't even fit . stupid plastic snap-together and doesn't ! buy a snickers instead keep your money",Strong Negative
YOU GET WHAT YOU PAY FOR  so don't pay for this.A bargain is not a bargain if you get crap.  If you need S go to Home Depot and buy it .,Strong Negative
WARNING!!!!!Case definitly has a impact on the quality of a already poor signal! Case makes phone drop be up to 3 bars dependsing on location.Love the case. Hate the signal problems!,Strong Negative
"I was looking for this wallet for a while now and my friend send me this link... well, 2 weeks after using this product the plastic inside kept falling piece by piece... I hate it! Because every time I pick up my phone another piece would felt.",Strong Negative
Hated the color but I bought it for my sisterand she had to look at the pepto bismolcase cover for over two years.,Strong Negative
I had an issue with the friar one but after the co found out I was disappointed they sent me a replacement at no charge. That says a lot so we give them five stars and we will buy from them again.,Strong Negative
This is the spottiest Bluetooth receiver I've ever had the misfortune of using. Do not buy this! It has awful range and cuts out constantly. Bad product. Spring for the pricier ones for reliability.,Strong Negative
I just hated this phone it was a piece of crap in my opinion. it work &  it lasted long it just was out-dated & not my style,Strong Negative
"Disappointed it didn't look like the picture at all, but what do you expect, that's amazon for you you get what you pay for",Strong Negative
I hate how this case feels. I just don't like the &34;matte&34; feeling.  It is also really hard to take off.  I almost broke it when i tried to get it off my phone.,Strong Negative
This item must have been lying around in a warehouse somewhere for a long time. The peel tabs ripped off when.I attempted to remove them to place the screen protector on my phone.... very disappointed.,Strong Negative
Not happy at all with this case! It is hard to use the power and home buttons! My son used it for a day and asked if I would be upset if he didn't use it anymore cause it stopped him from using those buttons. He likes the case but felt bad I bought it and he can't use it.,Strong Negative
"It was difficult to get the case on the phone. Within hours, it was dropped and it broke into pieces!",Strong Negative
I was very disappointed in the flimsy construction of this pink and white case I will not buy this again I will not use this as a dog dish- I would like a refund.  one note I would like to include is that it smells like fish and is just disgusting do not bye,Strong Negative
i bought 2 of this and one doesnt charge at all. If this is certified it cant be happend. this is a bad product. i lost my money. you deserve a have STAR not even one,Strong Negative
I wouldn't even give it one star. It deserves no stars. It does not work. I put the battery in my  phone and it keeps restarting for 5min. Then it doesn't start or power on at all.. It's a dud!!! Do not buy!! I never write reviews but I felt inclined to do so for this crap of a charger. You have been warned.,Strong Negative
Worst screen protector I have ever seen. You cant get the bubbles out and if you try you will scratch the screen. PLUS the liquid they give you and the instructions are very stupid. You cant get off the liquid after its already dried. I followed the instructions to a T! Don't wast your money. Oh and the screen moves around even after a week. Terrible product.,Strong Negative
Its a piece of crap outter rubber case did not fit and the case broke in a day so do not buy ZERO STAR !!!!!!!!!!!!,Strong Negative
"I received it and some of the rhinestones had fallen out during shipping, I think that one of my nieces will have the patience to glue them in but I was disappointed that I couldn't use it when I received it.",Strong Negative
"I like it except now that I have been using it for a while, the power button gets off center and it doesn't hit the phones power button.  That has become very annoying.",Strong Negative
Bought this for my daughter as she had the phone part and she wanted the base to put it on,Strong Negative
I hate this case. I almost broke my phone. The pen is horrible. The case sucks. I do NOT recommend this case. It sucks. It almost broke my phone.,Strong Negative
"Don't bother here, this is junk.  It fits terribly, it's flimsy, and way too bulky.  They've tried to simulate an otterbox, but missed.",Strong Negative
"i just receibt my cover and im so unhappy, the cover is very bad craft, on sides it has an very white stripe, the design printing is cut on sides, the plastic is bad finishied and the mute button hole is bad cutted aswell, is te worst iphone case that ive seen, i feel i loose my money",Strong Negative
